id,company_id,rule_type,definition,date_created,last_updated
121,641,regex_and_mcc,"{""pattern"": ""AUTOZONE"", ""mcc_code"": 5533}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
122,652,regex_and_mcc,"{""pattern"": ""OREILLY AUTO"", ""mcc_code"": 5533}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
123,459,regex_and_mcc,"{""pattern"": ""7-ELEVEN"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
124,153,regex_and_mcc,"{""pattern"": ""ARCO"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
125,559,regex_and_mcc,"{""pattern"": ""BP"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
126,553,regex_and_mcc,"{""pattern"": ""CHEVRON"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
127,185,regex_and_mcc,"{""pattern"": ""CIRCLE K"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
128,557,regex_and_mcc,"{""pattern"": ""CONOCO"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
129,187,regex_and_mcc,"{""pattern"": ""CORNER STORE"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
130,165,regex_and_mcc,"{""pattern"": ""DILLONS"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
131,555,regex_and_mcc,"{""pattern"": ""EXXON"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
132,201,regex_and_mcc,"{""pattern"": ""GIANT"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
133,162,regex_and_mcc,"{""pattern"": ""KROGER"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
134,173,regex_and_mcc,"{""pattern"": ""KWIK SHOP"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
135,174,regex_and_mcc,"{""pattern"": ""LOAF N JUG"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
136,765,regex_and_mcc,"{""pattern"": ""QUIKTRIP"", ""mcc_code"": 5541}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
137,459,regex_and_mcc,"{""pattern"": ""7-ELEVEN"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
138,153,regex_and_mcc,"{""pattern"": ""ARCO"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
139,559,regex_and_mcc,"{""pattern"": ""BP"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
140,553,regex_and_mcc,"{""pattern"": ""CHEVRON"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
141,185,regex_and_mcc,"{""pattern"": ""CIRCLE K"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
142,557,regex_and_mcc,"{""pattern"": ""CONOCO"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
143,187,regex_and_mcc,"{""pattern"": ""CORNER STORE"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
144,462,regex_and_mcc,"{""pattern"": ""COSTCO"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
145,611,regex_and_mcc,"{""pattern"": ""CRACKER BARREL"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
146,555,regex_and_mcc,"{""pattern"": ""EXXON"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
147,166,regex_and_mcc,"{""pattern"": ""FOOD 4 LESS"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
148,167,regex_and_mcc,"{""pattern"": ""FRED MEYER"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
149,201,regex_and_mcc,"{""pattern"": ""GIANT"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
150,181,regex_and_mcc,"{""pattern"": ""JAYC"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
151,172,regex_and_mcc,"{""pattern"": ""KING SOOPERS"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
152,162,regex_and_mcc,"{""pattern"": ""KROGER"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
